Pop ID,Private,Sites,Variant_Sites,Polymorphic_Sites,percent_Polymorphic_Loci,Num_Indv,Var,StdErr,P,Var,StdErr,Obs_Het,Var,StdErr,Obs_Hom,Var,StdErr,Exp_Het,Var,StdErr,Exp_Hom,Var,StdErr,Pi,Var,StdErr,Fis,Var,StdErr
Canary Islands,2350,5705589,40302,20307,0.35591,4.74194,0.19317,0.00018,0.99858,0.00063,0.00001,0.00238,0.00219,0.00002,0.99762,0.00219,0.00002,0.00157,0.00073,0.00001,0.99843,0.00073,0.00001,0.00177,0.00092,0.00001,-0.00098,0.00195,0.00018
Crete,323,2077477,11964,5121,0.2465,4.01841,0.01852,0.00009,0.99901,0.00044,0.00001,0.00162,0.00148,0.00003,0.99838,0.00148,0.00003,0.0011,0.0005,0.00002,0.9989,0.0005,0.00002,0.00125,0.00066,0.00002,-0.00057,0.00129,0.00009
Cyprus,733,3788162,27007,11234,0.29656,3.02502,0.02507,0.00008,0.99873,0.00058,0.00001,0.0023,0.00216,0.00002,0.9977,0.00216,0.00002,0.00137,0.00065,0.00001,0.99863,0.00065,0.00001,0.00165,0.00093,0.00002,-0.00106,0.00125,0.00008
Egypt,1725,4805917,31702,14636,0.30454,4.01613,0.01708,0.00006,0.99881,0.00053,0.00001,0.00214,0.00194,0.00002,0.99786,0.00194,0.00002,0.00132,0.0006,0.00001,0.99868,0.0006,0.00001,0.00151,0.00079,0.00001,-0.00102,0.00139,0.00006
Italy,487,3626629,23822,8544,0.23559,5.09124,0.08366,0.00015,0.99902,0.00045,0.00001,0.00187,0.00175,0.00002,0.99813,0.00175,0.00002,0.00106,0.0005,0.00001,0.99894,0.0005,0.00001,0.00117,0.00061,0.00001,-0.00121,0.00123,0.00015
Morocco,1773,4496560,32097,14633,0.32543,6.72627,0.20442,0.00021,0.99871,0.00058,0.00001,0.00228,0.0021,0.00002,0.99772,0.0021,0.00002,0.00142,0.00066,0.00001,0.99858,0.00066,0.00001,0.00153,0.00077,0.00001,-0.00128,0.0019,0.00021
Malta,1355,9963344,64417,40929,0.4108,3.56983,0.24746,0.00016,0.99847,0.00063,0.00001,0.00218,0.00189,0.00001,0.99782,0.00189,0.00001,0.00179,0.00081,0.00001,0.99821,0.00081,0.00001,0.00211,0.00111,0.00001,-0.00002,0.00208,0.00016
Mexico,1682,5981885,40324,16754,0.28008,11.29538,1.01767,0.00041,0.99892,0.00049,0.00001,0.00203,0.00188,0.00002,0.99797,0.00188,0.00002,0.00117,0.00054,0.00001,0.99883,0.00054,0.00001,0.00123,0.0006,0.00001,-0.00141,0.00173,0.00041
South Africa,14646,966909,24198,19843,2.05221,11.62184,0.28358,0.00054,0.99546,0.00122,0.00004,0.00098,0.00031,0.00002,0.99902,0.00031,0.00002,0.0066,0.00238,0.00005,0.9934,0.00238,0.00005,0.0069,0.0026,0.00005,0.01591,0.01554,0.00054
Tunisia,1511,4338828,31996,15164,0.3495,7.22306,0.69521,0.0004,0.99866,0.0006,0.00001,0.00231,0.00211,0.00002,0.99769,0.00211,0.00002,0.00149,0.00069,0.00001,0.99851,0.00069,0.00001,0.00161,0.0008,0.00001,-0.00123,0.00199,0.0004
United States,1674,3600912,25021,12105,0.33616,10.04028,0.63226,0.00042,0.99884,0.00051,0.00001,0.00212,0.00194,0.00002,0.99788,0.00194,0.00002,0.0013,0.00059,0.00001,0.9987,0.00059,0.00001,0.00137,0.00065,0.00001,-0.0011,0.00204,0.00042
